"","Fetal.epithelial.progenitor","Macrophage","B.cell..Plasmocyte.","Fibroblast","Fasciculata.cell","T.cell","Fetal.mesenchymal.progenitor","Endothelial.cell..APC.","Enterocyte.progenitor","Fetal.stromal.cell","Fetal.neuron","Erythroid.progenitor.cell..RP.high.","Monocyte","B.cell..Plasmocyte..1","Fetal.enterocyte","Hepatocyte.Endodermal.cell","Fetal.fibroblast","Fibroblast.1","Fetal.mesenchymal.progenitor.1","Endothelial.cell","Fetal.stromal.cell.1","Dendritic.cell","Loop.of.Henle","Erythroid.cell","Stromal.cell","Oligodendrocyte","Endothelial.cell.1","AT2.cell","Monocyte.1","Thyroid.follicular.cell","Smooth.muscle.cell","Fibroblast.2","Smooth.muscle.cell.1","Fibroblast.3","B.cell","Epithelial.cell","Enterocyte","Neutrophil..RPS.high.","Antigen.presenting.cell..RPS.high.","Smooth.muscle.cell.2","Fetal.chondrocyte","Pancreas.exocrine.cell","Macrophage.1","Neutrophil","M2.Macrophage","Neutrophil.1","Epithelial.cell.1","Gastric.chief.cell","Macrophage.2","Proliferating.T.cell","Fetal.neuron.1","Goblet.cell","Fasciculata.cell.1","Intercalated.cell","Stratified.epithelial.cell","Stromal.cell.1","Epithelial.cell.2","Epithelial.cell..intermediated.","Sinusoidal.endothelial.cell","Primordial.germ.cell","Fasciculata.cell.2","Fetal.skeletal.muscle.cell","Enterocyte.progenitor.1","Endothelial.cell..endothelial.to.mesenchymal.transition.","Basal.cell","Astrocyte","Macrophage.3","Fibroblast.4","Fetal.acinar.cell","Stromal.cell.2","Basal.cell.1","Ventricle.cardiomyocyte","Erythroid.cell.1","Mesothelial.cell","Ureteric.bud.cell","Macrophage.4","Smooth.muscle.cell.3","Enterocyte.1","Epithelial.cell.3","Stratified.epithelial.cell.1","Proximal.tubule.progenitor","Gastric.endocrine.cell","Erythroid.cell.2","Mast.cell","hESC","Fetal.endocrine.cell","Neutrophil.2","Goblet.cell.1","Goblet.cell.2","Immature.sertoli.cell..Pre.Sertoli.cell.","Myeloid.cell","Dendritic.cell.1","Stromal.cell.3","Fetal.Neuron","Intermediated.cell","Epithelial.cell.4","Chondrocyte","B.cell.1","Kidney.intercalated.cell","Adrenal.gland.inflammatory.cell","NK","Platelet"
"1","BEX3","CTSB","JCHAIN","C1S","PEBP1","CD3D","MDK","IFI27","LGALS4","COL5A1","MLLT11","UROD","FCER1G","IGHG1","AGR2","RBP2","FOS","FBLN1","COL1A2","A2M","COL1A1","HLA-DRA","DEFB1","AHSP","DCN","PLP1","TM4SF1","SFTPB","FCN1","TG","MT2A","DLK1","GNB2L1","EFEMP1","MS4A1","PLA2G2A","PHGR1","MPO","CSTA","TAGLN","MATN1","CPA2","CTSB","SRGN","CD74","S100A8","KRT8","PGC","BCL2A1","CD1B","STMN2","AGR2","STAR","ATP6V1G3","WFDC2","GEM","PDZK1IP1","S100P","FCN3","NDUFAB1","STAR","GAS5","SERPINA3","EPAS1","S100A2","GPM6A","SPP1","DCN","SPINK1","PTN","S100A2","MYL7","HBA2","ITLN1","DEFB1","C1QB","ACTA2","TFF3","FABP1","WFDC2","AFP","KLK3","HBB","TPSB2","GLIPR1L1","CHGA","BCL2A1","SPINK1","MMP7","MIR202HG","CD14","CD74","COL3A1","S100B","S100A11","KRT17","FN1","JCHAIN","ACP5","THRSP","FCGR3A","PPBP"
"2","STMN1","C1QB","IGHA1","TIMP2","STAR","CD3E","LGALS1","TM4SF1","PIGR","MEST","GPM6A","AHSP","AIF1","MZB1","MT1G","TTR","BEX3","DCN","COL3A1","GNG11","JUNB","CD74","CD24","HBG2","LUM","TUBB4A","ICAM1","SFTPC","CTSS","TFF3","CRYAB","PLAC9","CRIP2","C1R","CD79A","ADIRF","ANPEP","PRSS57","LST1","ADIRF","MIA","CELA3A","LAPTM5","AZU1","HLA-DRA","S100A9","EFNA1","PGA5","SOD2","RP11-144L1.4","TUBA1A","CYSTM1","DLK1","TMEM213","PIGR","THBS1","GPX3","S100A11","CCL5","STMN1","FDX1","SNHG5","SPINK1","LUM","KRT5","MT3","F13A1","MGP","DLK1","COL1A2","HSPB1","ACTC1","HBG2","SLPI","LDHB","C1QA","TAGLN","MUC2","PHGR1","SLPI","LDHB","AZGP1","AHSP","CPA3","KRT18","TTR","FPR1","AGR2","SERPINA1","BEX1","CYP17A1","HLA-DRA","CXCL14","GPM6B","SPINK1","KRT19","MT2A","SUB1","SPP1","FABP4","KLRF1","PF4"
"3","SOX4","LAPTM5","SSR4","COL6A3","RARRES2","CD3G","STMN1","A2M","FXYD3","DLK1","TMSB15A","BLVRB","FCN1","SSR4","TSPAN8","APOA1","STMN1","CFD","COL1A1","RAMP2","GPC3","HLA-DPA1","WFDC2","HBM","MGP","ERMN","CD93","SLC34A2","TYROBP","PCP4","GEM","ACTA2","PLAC9","IL6","CD79B","TM4SF1","FABP1","SPINK2","CTSS","ACTA2","C2orf82","SPINK1","C1QA","MPO","CTSD","LCN2","PHLDA2","LIPF","CXCL8","CD1E","GAP43","LYZ","FDX1","RTN4","SLPI","MIR4435-2HG","NAT8","SPINK1","CRHBP","SNRPE","PEBP1","STMN1","REG1A","FN1","SFN","C1orf61","CD14","APOD","RBPJ","PLAC9","KRT13","TNNT2","HBA1","HP","FXYD2","CTSB","MYL6","LGALS4","FXYD3","SCGB2A1","GPX3","MSMB","HBA1","TPSAB1","SLIRP","ALDH1A1","FCGR3B","FXYD3","TM4SF4","ZFAND5","CSF1R","HLA-DRB1","LUM","PLP1","CLDN4","KRT18","HAPLN1","MZB1","MMP9","RBP4","NCR1","NRGN"
"4","LDHB","TYROBP","MZB1","SEMA3C","CLU","CD4","DCN","SOCS3","PHGR1","OGN","UCHL1","PRDX2","CTSS","SEC11C","MT1H","GSTA1","NPY","SERPING1","COL5A2","COL4A1","LUM","HLA-DPB1","SPP1","HBA1","C1S","QKI","PLPP3","SFTPA2","LYZ","GPX3","SOD2","OLFML3","MYH11","MGST1","CD19","HP","ALDOB","SNHG6","TYROBP","MYL9","EPYC","SERPINA3","A2M","MS4A3","C1QB","ALOX5AP","RPN2","PGA3","PLAUR","KIAA0101","UCHL1","MUC1","PTS","ATP6AP2","AZGP1","TCEB1","CXCL14","ADIRF","MS4A6A","PRDX1","CYP21A2","SNRPE","REG3A","DCN","KRT17","SLC1A3","CD36","FOS","MEG3","COL1A1","SFN","MYL2","HBB","PRG4","CD24","FCER1G","TPM2","FCGBP","KRT8","CLU","SMIM24","PLPP1","HBA2","SRGN","GAL","ERO1B","NAMPT","CLDN18","SPINK1","RNASE1","FCER1G","HLA-DPA1","COL1A1","ANXA2","S100P","ANXA2","C2orf40","PPIB","CTSK","G0S2","FGFBP2","GNG11"
"5","SKP1","PSAP","IGKC","MMP2","CYP21A2","CD2","COL1A2","IGFBP7","C15orf48","LUM","NREP","HMGA1","LST1","IGKC","MT1E","FABP1","SOX4","CCDC80","SPARC","PRCP","PPP1R15A","HLA-DRB1","CYSTM1","HBA2","SERPING1","CLDN11","EMP1","SFTPA1","PSAP","CRYAB","MAT2A","COL6A2","ACTA2","SERPINF1","BANK1","TIMP1","FABP2","RP11-620J15.3","FCN1","DSTN","HAPLN1","PRSS2","CD74","RNASE2","C1QA","PGLYRP1","KRT7","CYSTM1","SRGN","NDUFB3","MLLT11","TFF2","BEX3","ATP6V0D2","TACSTD2","TIMP1","ITM2B","MTATP6P1","CTSL","SOD1","RARRES2","KIAA0101","MT1E","SPARCL1","AQP3","CLU","CCL4L2","HSPA1A","CPA2","MGP","ANXA1","MYL3","HBG1","ADIRF","POU3F3","CD5L","MYL9","CLCA1","KRT20","CRISP3","CUBN","DHRS7","CA1","RGS2","OCIAD2","CPE","S100A9","ANXA10","TM4SF1","COL1A2","SPI1","HLA-DPB1","DCN","TUBA1A","CYB5A","KRT8","CYTL1","SEC11C","CST3","CHCHD10","FCGR3A","CAVIN2"
"6","SNRPE","C1QA","IGHA2","GSN","CYP17A1","CD7","BEX3","SPARCL1","KRT19","POSTN","TUBB2B","KIAA0101","TYROBP","XBP1","FABP1","FABP2","TCEAL9","C1R","COL5A1","TM4SF1","COL3A1","CST3","IGFBP7","GYPA","CFD","CNP","ADAMTS9","NPC2","S100A9","CD24","CXCL8","COL15A1","IGFBP5","CD59","BCL11A","SERPING1","ADIRF","RP11-386I14.4","CD74","TPM2","LECT1","PRSS1","RNASET2","ELANE","GRN","RETN","XAGE2","MT1G","IL1B","TRDC","STMN1","PSCA","CHCHD2","CA12","CXCL17","C3","SPP1","CLDN4","FCN2","SLIRP","HSD3B2","ATP5G2","OLFM4","SPARC","SERPINB5","CKB","LYVE1","FOSB","RBP1","C7","FABP5","TPM1","AHSP","CPB1","ITM2C","MS4A7","RGS5","AGR2","LGALS4","CD74","ATPIF1","TACSTD2","BLVRB","RGS1","ATP5G3","SCG5","CSF3R","MSMB","AGR2","APOA1","","IL8","ACTA2","STMN1","FXYD3","CLDN4","ACAN","SEC61G","CSTB","DGAT2","","TUBB1"
"7","ID3","HLA-DRA","HERPUD1","IGFBP6","AKR1B1","TRAC","COL1A1","TGFBR2","TSPAN8","COL5A2","POU3F3","GYPC","LYZ","JCHAIN","AGR3","SERPINA1","RNASE1","C1S","DCN","ESAM","MDK","HLA-DQA1","CLDN4","ALAS2","GPX3","MAG","PCAT19","NAPSA","CST3","CTSB","EMP1","TGFBI","CAV1","MIR4435-2HG","CD22","EFEMP1","RBP2","PLAC8","ARPC3","IGFBP7","S100B","REG3G","HLA-DRB1","DEFA4","HLA-DPA1","S100P","MFAP5","CXCL17","FCER1G","RP11-620J15.3","TUBB","ANXA10","CYP17A1","NDUFA4","KRT7","TNFAIP6","TMEM27","FXYD3","IFI27","CBX3","CHCHD2","LRRC75A-AS1","MT1G","CAV1","KRT15","ATP1A2","RNASE1","RGS2","XIST","COL3A1","FGFBP1","TNNC1","ALAS2","TIMP1","SLC12A1","CD74","ACTG2","ITLN1","TSPAN8","ANXA1","HSPA5","TSPAN1","PRDX2","NFKBIA","UCHL1","BEX1","TYROBP","HES1","GPX2","AMH","","HSPA1A","GPC3","SPARC","DHRS2","LMNA","CTGF","TNFRSF17","COX7B","COX5B","","RGS18"
"8","SRP9","CTSD","DERL3","MFAP4","NOV","TRBC1","COL3A1","EPAS1","KRT8","FSTL1","HN1","SNRPD1","CD52","FKBP11","LGALS2","SMIM24","HSPA1A","SFRP2","LUM","CAV1","LAPTM4A","HLA-DQB1","LDHB","HBG1","ADH1B","EDIL3","IFI27","MUC1","S100A8","TPO","THBS1","COL6A1","MFGE8","SERPING1","NCF1C","S100A10","SI","ENO1","CARD16","LGALS1","COL2A1","PLA2G1B","TREM2","CTSG","APOC1","LTF","HPGD","MT1E","LYZ","FABP5","BEX1","CLDN18","FAM166B","CYSTM1","CLDN4","PTGS2","MT1G","KRT17","CD52","SNRPD1","ADGRV1","MEST","IL32","AQP1","KRT6A","SPARCL1","DAB2","EGR1","CD24","SPARC","GSTP1","PLN","SLC25A37","C3","BEX3","C1QC","IGFBP7","KRT18","KRT19","MTATP6P1","RIDA","KLK2","HBD","GLUL","PRDX4","EPCAM","S100A8","SNHG8","SERPINA3","SERPINA5","","LYZ","DLK1","CRABP1","ADIRF","CAV1","SCRG1","TMEM258","RGS10","COX4I1","","CLU"
"9","GSTP1","NPC2","SEC11C","COL6A1","TPD52L1","LAT","NREP","GNG11","EPCAM","ISLR","NNAT","H2AFZ","LAPTM5","SPCS2","GSTA1","APOC3","COL3A1","GSN","OLFML3","CDH5","NR4A1","AIF1","GDF15","GYPB","C1R","PTGDS","PNP","CTSH","AIF1","CLU","CREM","PMP22","CALD1","PCOLCE","","OGN","EPCAM","VAMP8","SH3BGRL3","MYH11","SEC61G","REG1A","C1QC","PRTN3","SERPINA1","GCA","FSTL3","MUC1","CXCL2","CBX3","RTN1","MUC6","CYP11A1","FXYD2","KRT19","NNMT","MT1E","S100A2","RGS2","SNRPG","BEX3","SNRPD2","REG1B","GPX3","KRT14","ALDOC","LGMN","IGFBP5","SERPINA1","MAGED2","KRT5","CSRP3","HBM","MT1E","COX7B","MS4A6A","MYLK","ZG16","PIGR","MMP7","APOM","KRT18","HBM","VIM","MIR302B","SCGN","PLAUR","MTATP6P1","REG1A","FSCN1","","GNB2L1","EGFL6","VIM","CSTB","LYPD3","SOD2","SSR4","ATP6V1G1","UQCRQ","",""
"10","SRP14","FCER1G","FKBP11","PLAC9","EPHX1","","TUBB","ITM2B","LGALS3","GPC3","FABP7","DUT","OAZ1","PRDX4","SPINK1","SEPP1","GAPDH","C3","OGN","CD34","FSTL1","GPR183","ATP1A1","PRDX2","EFEMP1","TF","ATP1A1","SFTPD","FCER1G","IYD","VIM","MDK","FABP4","DCN","","SLPI","PCK1","PRTN3","SRGN","CALD1","MATN3","REG1B","CX3CR1","DEFA3","HLA-DPB1","LYZ","ITGA5","AZGP1","CXCL3","SRP9","LINC00682","TSPAN8","PRDX3","LITAF","CD24","MEDAG","MT1X","DHRS2","CLEC2B","SEC61G","PRDX2","CD63","CPA2","TIMP3","FGFBP1","SCD5","CCL3","LUM","SOX4","COX7A1","S100A11","TNNI3","AC104389.1","CFH","WFDC2","AIF1","SPARC","SPINK1","LGALS3","CXCL8","CYB5A","ACPP","GYPB","ANXA1","SNHG5","HDC","SAMSN1","RPL9P9","CD59","GSTA1","","HLA-DQA1","MEST","CRYAB","UQCRQ","TNFRSF12A","A2M","IGHA1","ATP6V0E1","NDUFA4","",""
