Tfh,CD8_NaiveLike,CD8_EffectorMemory,CD8_EarlyActiv,Th1,CD4_NaiveLike,CD8_Tpex,CD8_Tex,Treg
Tox2,Ccr7,Gzma,Gzmk,Cd40lg,Ccr7,Lag3,Lag3,Tnfrsf4
Maf,Il7r,Gzmk,Fos,Il7r,Sell,Xcl1,Prf1,Tnfrsf1b
Tbc1d4,Sell,Nkg7,Cd69,Klrb1,Cd40lg,Crtam,Cd8a,Tnfrsf18
Tnfrsf4,Tcf7,Cd8a,Zfp36,Cd4,Il7r,Ifng,Havcr2,Il2ra
Cd4,Txk,Cd8b1,Fosb,Rora,Tcf7,Ccl4,Gzmb,Ctla4
Ucp2,S1pr1,Ctsw,Ccl5,Tnfrsf25,Lef1,Pdcd1,Nkg7,Tigit
Coro1b,Lef1,Gzmb,Gzmm,Anxa1,Gpr183,Dusp4,Cd8b1,Icos
Tigit,Satb1,Ccl5,Dusp2,Ltb,Klrb1,Cd8a,Ctsd,Gpx1
Batf,,Cst7,Lyar,Gpr183,Ltb,Zeb2,Klrd1,Maf
Nr3c1,,Prf1,Samd3,Cdkn1a,Mal,Nr4a2,Id2,Foxp3
Itm2a,,Abi3,Cxcr4,Lmna,Pask,Sla,Cst7,Batf
Tnfrsf18,,Fasl,Ctsw,S100a11,Aqp3,Nkg7,Pdcd1,Ikzf4
Lims1,,Itm2c,Cd8a,S100a4,Trat1,Tigit,Tnfrsf9,Ikzf2
Ica1,,1500009L16Rik,Anxa1,Plin2,,Ctsw,Tigit,Sat1
Ctsb,,Eomes,Klrg1,,,Tnfrsf9,Ctsw,Tbc1d4
Sh2d1a,,Chst12,Cd8b1,,,Tox,Ccl4,Dusp4
Ctla4,,Ccr5,Aoah,,,Lyst,Cd63,Dnph1
Mageh1,,Hcst,Tagap,,,Tnfsf4,Ccl3,Phlda1
Sesn3,,Aoah,Klrd1,,,Ccl3,Ifng,Snx9
Icos,,Hopx,Ier2,,,Gzmb,Cxcr6,Cd4
Nmb,,Slamf7,Gzma,,,Rab27a,Fasl,Tymp
Cxcl13,,Cxcr3,Cst7,,,Prf1,Rbpj,Nampt
Cd200,,Oasl1,Itm2c,,,Cd70,Chst12,Syngr2
Btla,,F2r,Parp8,,,Plscr1,Fam3c,Pbxip1
Ptpn13,,Cxcr6,Btg2,,,Cxcl13,Csf1,Glrx
